"Name","Policy URL","Hostname"
"Datawrapper GmbH","https://www.datawrapper.de/privacy","www.datawrapper.de"
"Facebook Videos","https://www.facebook.com/policy.php","www.facebook.com"
"Kaltura","https://corp.kaltura.com/privacy-policy","corp.kaltura.com"
"kr3m. media GmbH","https://kr3m.com/datenschutz","kr3m.com"
"Podigee GmbH","https://www.podigee.com/en/about/privacy/","www.podigee.com"
"Preisvergleich Internet Services AG","https://unternehmen.geizhals.at/datenschutzerklaerung/","unternehmen.geizhals.at"
"tanke-günstig","https://www.tanke-guenstig.de/Ueber-Uns/Datenschutz","www.tanke-guenstig.de"
"Twitch Interactive, Inc","https://www.twitch.tv/user/legal?page=privacy_policy","www.twitch.tv"
"Vimeo.com, Inc.","https://vimeo.com/privacy","vimeo.com"
"YouTube","https://www.youtube.com/howyoutubeworks/our-commitments/protecting-user-data/#protecting-viewer-data","www.youtube.com"
"DYMATRIX","https://www.dymatrix.de/datenschutz","www.dymatrix.de"
"Jentis","https://www.jentis.com/privacy/","www.jentis.com"
"CleverPush GmbH","https://cleverpush.com/en/privacy","cleverpush.com"
"AdTrader","https://adtrader.com/privacy.html","adtrader.com"
"Amazon Affiliates","https://www.amazon.co.uk/gp/help/customer/display.html/?nodeId=502584","www.amazon.co.uk"
"AMP Project (Google)","https://policies.google.com/privacy?hl=en","policies.google.com"
"CloudFlare, Inc.","https://www.cloudflare.com/security-policy","www.cloudflare.com"
"Facebook","https://www.facebook.com/privacy/explanation","www.facebook.com"
"Google Sign-In","https://policies.google.com/privacy","policies.google.com"
"Jobware GmbH","https://www.jobware.de/Datenschutz/","www.jobware.de"
"Microsoft","https://privacy.microsoft.com/en-us/privacystatement","privacy.microsoft.com"
"plenigo","https://www.plenigo.com/de/datenschutz","www.plenigo.com"
"PulsePoint","https://www.pulsepoint.com/privacy-policy","www.pulsepoint.com"
"Stailamedia","https://www.stailamedia.com/datenschutz","www.stailamedia.com"
"Supership","https://supership.jp/optout/","supership.jp"
"Upscore GmbH","https://www.upscore.com/de/datenschutz.html","www.upscore.com"
"VG Wort","https://www.vgwort.de/hilfsseiten/datenschutz.html","www.vgwort.de"
"Webtrekk GmbH","https://www.webtrekk.com/privacy-notice.html","www.webtrekk.com"
"1plusX AG","https://www.1plusx.com/privacy-policy/","www.1plusx.com"
"33Across","https://www.33across.com/privacy-policy","www.33across.com"
"Active Agent (Virtual Minds GmbH)","https://www.adition.com/en/privacy-platform","www.adition.com"
"AdDefend GmbH","https://www.addefend.com/en/privacy-policy/","www.addefend.com"
"Adex (Virtual Minds GmbH)","https://theadex.com/privacy-platform/","theadex.com"
"Adform A/S","https://site.adform.com/privacy-center/platform-privacy/product-and-services-privacy-policy/","site.adform.com"
"ADITION (Virtual Minds GmbH)","https://www.adition.com/en/privacy-platform","www.adition.com"
"ADman Interactive SLU","https://admanmedia.com/politica.html","admanmedia.com"
"Adnuntius AS","https://adnuntius.com/resources/privacy-policy/","adnuntius.com"
"Adobe Advertising Cloud","https://www.adobe.com/privacy/experience-cloud.html","www.adobe.com"
"Adobe Audience Manager, Adobe Experience Platform","https://www.adobe.com/privacy/policy.html","www.adobe.com"
"advanced store GmbH","https://www.advanced-store.com/en/data-privacy/","www.advanced-store.com"
"ADYOULIKE SA","https://www.adyoulike.com/pages/privacy_en.php","www.adyoulike.com"
"Affinity Global GmbH","https://opinary.com/privacy-policy/","opinary.com"
"Amazon Ad Server","https://www.sizmek.com/privacy-policy","www.sizmek.com"
"Amazon Advertising","https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=201909010","www.amazon.co.uk"
"Artefact Deutschland GmbH","https://aaa.artefact.com/privacy-policy.do","aaa.artefact.com"
"AudienceProject A/S","https://privacy.audienceproject.com","privacy.audienceproject.com"
"AWIN AG","https://www.awin.com/gb/privacy","www.awin.com"
"Axel Springer Teaser Ad GmbH","https://www.adup-tech.com/en/privacy-policy/","www.adup-tech.com"
"Azerion Holding B.V.","https://static.gamedistribution.com/policy/privacy-enduser.html","static.gamedistribution.com"
"bam! interactive marketing GmbH ","https://bam-interactive.de/datenschutz/","bam-interactive.de"
"BeeswaxIO Corporation","https://www.beeswax.com/privacy/","www.beeswax.com"
"belboon GmbH","https://belboon.com/en/privacy/","belboon.com"
"BIDSWITCH GmbH","https://www.bidswitch.com/privacy-policy/","www.bidswitch.com"
"Bidtellect, Inc","https://www.bidtellect.com/privacy-policy/","www.bidtellect.com"
"C Wire AG","https://www.cwire.com/privacy-policy","www.cwire.com"
"Comcast International France SAS/FreeWheel Media, Inc.","https://www.freewheel.com/privacy-policy","www.freewheel.com"
"Comscore B.V.","https://www.scorecardresearch.com/privacy.aspx","www.scorecardresearch.com"
"ConnectAd Demand GmbH","https://connectadrealtime.com/privacy/","connectadrealtime.com"
"Contact Impact GmbH/Axel Springer Teaser Ad GmbH","https://contactimpact.de/privacy","contactimpact.de"
"Crimtan Holdings Limited","https://www.crimtan.com/privacy-policy/","www.crimtan.com"
"Criteo SA","https://www.criteo.com/privacy/","www.criteo.com"
"dataXtrade GmbH","https://dataxtrade.com/de/privacy.html","dataxtrade.com"
"DEFINE MEDIA GMBH","https://www.definemedia.de/datenschutz-conative/","www.definemedia.de"
"Dentsu Product & Services GmbH","https://mediaintelligence.de/privacy-policyeng.do","mediaintelligence.de"
"Dentsu UK Limited","https://privacy.metadsp.co.uk/privacy-policy.html","privacy.metadsp.co.uk"
"Dynata LLC","https://www.dynataprivacy.com/","www.dynataprivacy.com"
"eBay Inc","https://www.ebayinc.com/company/privacy-center/gdpr/","www.ebayinc.com"
"emetriq GmbH","https://www.emetriq.com/datenschutz/","www.emetriq.com"
"Epsilon","https://www.epsilon.com/emea/privacy-policy","www.epsilon.com"
"Equativ","https://equativ.com/privacy-policy/","equativ.com"
"Eskimi","https://www.eskimi.com/privacy-policy","www.eskimi.com"
"Exactag GmbH","https://exactag.com/privacy-policy/","exactag.com"
"Exit Bee Limited","https://www.exitbee.com/privacy/","www.exitbee.com"
"Exponential Interactive, Inc d/b/a VDX.tv","https://vdx.tv/privacy/","vdx.tv"
"Factor Eleven GmbH","https://de.f11-ads.com/privacy.php","de.f11-ads.com"
"Flashtalking","https://www.flashtalking.com/privacypolicy/","www.flashtalking.com"
"GfK GmbH","https://help.sensic.net/privacypolicy_en.html","help.sensic.net"
"glomex GmbH","https://www.glomex.com/en/privacy-policy/privacy-notice-for-the-glomex-player/","www.glomex.com"
"Goldbach Group AG","https://goldbach.com/ch/en/privacy-policy/goldbach-group","goldbach.com"
"Google Advertising Products","https://business.safety.google/privacy/","business.safety.google"
"GroupM UK Limited","https://www.groupm.com/privacy-notice","www.groupm.com"
"GumGum, Inc.","https://www.gumgum.com/terms-and-policies/privacy-policy","www.gumgum.com"
"Happydemics","https://happydemics.com/en/terms_and_conditions","happydemics.com"
"Hivestack Inc.","https://hivestack.com/privacy-policy","hivestack.com"
"Hurra Communications GmbH","https://privacy.hurra.com/tcf/","privacy.hurra.com"
"Hybrid Adtech GmbH","https://hybrid.ai/data_protection_policy","hybrid.ai"
"ID5 Technology Ltd","https://id5.io/platform-privacy-policy/","id5.io"
"Improve Digital","https://www.improvedigital.com/platform-privacy-policy","www.improvedigital.com"
"Index Exchange Inc. ","https://www.indexexchange.com/privacy","www.indexexchange.com"
"INFOnline GmbH","https://www.infonline.de/en/datenschutzerklaerung/","www.infonline.de"
"Ingenious Technologies AG","https://www.ingenioustechnologies.com/privacy-policy","www.ingenioustechnologies.com"
"Inskin Media LTD","https://www.azerion.com/wp-content/uploads/2024/06/Website-Privacy-Notice-v3-Inskin-Media.pdf","www.azerion.com"
"IPONWEB GmbH","https://www.iponweb.com/policies-legal/iponweb-privacy-policy/","www.iponweb.com"
"iProspect GmbH","https://inetpro.io/privacy-policyeng.do","inetpro.io"
"Jaduda GmbH","https://www.splicky.com/en/web/privacy-delivery","www.splicky.com"
"Justpremium BV","https://gumgum.com/terms-and-policies/justpremium-privacy-policy","gumgum.com"
"Kairion GmbH","https://kairion.de/datenschutzbestimmungen/","kairion.de"
"Kameleoon SAS","https://developers.kameleoon.com/local-storage.html#list-of-collected-data","developers.kameleoon.com"
"Kayzen","https://kayzen.io/data-privacy-policy","kayzen.io"
"KUPONA GmbH","https://www.kupona.de/dsgvo/#datenschutzerklaerung","www.kupona.de"
"LinkedIn Ireland Unlimited Company","https://www.linkedin.com/legal/privacy-policy","www.linkedin.com"
"LiquidM Technology GmbH","https://liquidm.com/privacy-policy/","liquidm.com"
"LiveRamp","https://liveramp.uk/privacy/service-privacy-policy/","liveramp.uk"
"LoopMe Limited","https://legal.loopme.com/privacy-center#contract-hyartvn1o","legal.loopme.com"
"Lotame Solutions, Inc","https://www.lotame.com/privacy/privacy-notices/services/","www.lotame.com"
